﻿Library Name,Total Items,Size (MB),Size (GB),Last Modified
"DPT-FB",26395,26970.55,26.338,"23/4/2569 16:33:05"
"DPT-FO",76904,50165.05,48.989,"23/4/2569 16:29:39"
"DPT-GL",88502,81675.69,79.761,"23/4/2569 16:32:58"
"DPT-GM",154,616.04,0.602,"23/4/2569 09:12:57"
"DPT-HK",55195,45379.71,44.316,"23/4/2569 16:30:29"
"DPT-HR",36042,37712.62,36.829,"23/4/2569 16:31:15"
"DPT-IT",27133,13878.35,13.553,"23/4/2569 16:32:57"
"DPT-MK",25,299.88,0.293,"1/4/2569 17:35:01"
"DPT-Reception",7,1.01,0.001,"17/3/2569 19:03:12"
"DPT-SC",111629,134453.12,131.302,"23/4/2569 16:31:56"
"DPT-SM",88747,129461.94,126.428,"23/4/2569 16:30:42"
"DPT-TE",25957,29532.52,28.840,"21/4/2569 10:49:37"
"DPT-TH",7005,6071.43,5.929,"23/4/2569 16:30:17"
"Forum",20599,37327.62,36.453,"23/4/2569 16:32:27"
"
GRAND TOTAL",564294,593545.55,579.634,""
